thickness,ltt_name,adb,laser_power,material_type,machine_type,feedrate,focal_position,gas_pressure,failure
50,ST050MD4-N2S0-30-2,2,6000,S235JR,L26,9,0.6,11.5,1
50,ST050MD4-N2S0-30-2,2.5,6000,S235JR,L26,9,0.6,11.5,1
50,ST050MD4-N2S0-30-2,2,6000,S235JR,L26,9,0.6,21,1
50,ST050MD4-N2S0-30-2,2.5,6000,S235JR,L26,9,0.6,21,1
50,ST050MD4-N2S0-30-2,2,6000,S235JR,L26,9,-3.8,21,1
50,ST050MD4-N2S0-30-2,2.5,6000,S235JR,L26,9,-3.8,21,1
50,ST050MD4-N2S0-30-2,0.5,6000,S235JR,L26,9,-0.65,18.5,1
80,ST080MD0-N2H0-30-2,0.4,10000,S235JR,L76,7.8,-2.1,12,1
80,ST080MD0-N2H0-30-2,0.4,10000,S235JR,L76,7.8,1.9,10,1
80,ST080MD0-N2H0-30-2,0.4,10000,S235JR,L76,7.8,1.9,8,1
80,ST080MD0-N2H0-30-2,0.4,10000,S235JR,L76,7.8,-4.1,10,1
80,ST080MD0-N2H0-30-2,0.4,10000,S235JR,L76,7.2,1.9,6,1
80,ST080MD0-N2H0-30-2,0.4,10000,S235JR,L76,7.8,0.7,12,1
80,ST080MD0-N2H0-30-2,0.4,10000,S235JR,L76,7.2,1.9,12,1
80,ST080MD0-N2H0-30-2,0.4,10000,S235JR,L76,7.8,1.9,12,1
80,ST080MD5-N2S0-30-2,4,6000,S355J2,L95,4,-1,22,1
80,ST080MD5-N2S0-30-2,4,6000,S355J2,L95,4,-2,24,1
80,ST080MD5-N2S0-30-2,4,6000,S355J2,L95,4,-1,24,1
80,ST080MD5-N2S0-30-2,4,6000,S355J2,L95,4,-1,23,1
80,ST080MD5-N2S0-30-2,4,6000,S355J2,L95,4,-1,21,1
80,ST080MD5-N2S0-30-2,4,6000,S355J2,L95,4,-4,24,1
80,ST080MD5-N2S0-30-2,4,6000,S355J2,L95,4,-4,23,1
80,ST080MD5-N2S0-30-2,4,6000,S355J2,L95,4,-3,23,1
80,ST080MD5-N2S0-30-2,4,6000,S355J2,L95,4,-3,24,1
150,ST150MD0-N2H0-30-2,0.4,10000,H400,L76,2.4,-12.1,1.5,1
150,ST150MD0-N2H0-30-2,0.4,10000,H400,L76,2.4,-10.6,3.5,1
150,ST150MD0-N2H0-30-2,0.4,10000,H400,L76,2.2,-12.1,2.5,1
150,ST150MD0-N2H0-30-2,0.4,10000,H400,L76,2.2,-12.1,3.5,1
150,ST150MD0-N2H0-30-2,0.4,10000,H400,L76,2.2,-12.1,4.5,1
150,ST150MD0-N2H0-30-2,0.4,10000,H400,L76,2.4,-10.6,1.5,1
150,ST150MD0-N2H0-30-2,0.4,10000,H400,L76,2.4,-12.1,2.5,1
150,ST150MD0-N2H0-30-2,0.4,10000,H400,L76,2.2,-12.1,1.5,1
150,ST150MD0-N2H0-30-2,0.4,10000,H400,L76,2.4,-10.6,2.5,1
150,ST150MD0-N2H0-30-2,0.4,10000,H400,L76,2.4,-10.6,4.5,1
150,ST150MD0-N2H0-30-2,0.4,10000,H450,L76,2.4,-7.1,1.5,1
150,ST150MD0-N2H0-30-2,0.4,10000,H450,L76,2.4,-9.6,1.5,1
150,ST150MD0-N2H0-30-2,0.4,10000,H450,L76,2.4,-12.1,1.5,1
150,ST150MD0-N2H0-30-2,0.4,10000,H450,L76,2.2,-8.6,1.5,1
150,ST150MD0-N2H0-30-2,0.4,10000,H450,L76,1.8,-8.6,1.5,1
150,ST150MD0-N2H0-30-2,0.4,10000,H450,L76,2.2,-7.1,1.5,1
150,ST150MD0-N2H0-30-2,0.4,10000,H450,L76,2.4,-10.6,1.5,1
150,ST150MD0-N2H0-30-2,0.4,10000,H450,L76,2.2,-9.6,1.5,1
150,ST150MD0-N2H0-30-2,0.4,10000,H450,L76,1.8,-9.6,1.5,1
150,ST150MD0-N2H0-30-2,0.4,10000,H450,L76,2.4,-12.1,2.5,1
150,ST150MD0-N2H0-30-2,0.4,10000,H450,L76,2.2,-12.1,1.5,1
150,ST150MD0-N2H0-30-2,0.4,10000,H450,L76,2.2,-10.6,1.5,1
150,ST150MD0-N2H0-30-2,0.4,10000,H450,L76,1.8,-7.1,1.5,1
150,ST150MD0-N2H0-30-2,0.4,10000,H450,L76,2.4,-8.6,1.5,1
150,ST150MD0-N2H0-30-2,0.4,10000,S355J2sand,L76,2.4,-8.6,3.5,1
150,ST150MD0-N2H0-30-2,0.4,10000,S355J2sand,L76,1.5,-7.1,1.5,1
150,ST150MD0-N2H0-30-2,0.4,10000,S355J2sand,L76,2.4,-10.6,3.5,1
150,ST150MD0-N2H0-30-2,0.4,10000,S355J2sand,L76,2.2,-12.1,2.5,1
150,ST150MD0-N2H0-30-2,0.4,10000,S355J2sand,L76,2.4,-8.6,4.5,1
